indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y015_024,8,78,64.69073952339323,0.05817352103316328,0.01655344802603303,0.0330363490022484,0.10045049508487525
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y015_024,8,78,64.69073952339323,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y015_024,8,78,64.69073952339323,0.07316516500813895,0.03628838305136031,0.02691217947901359,0.18388922908285127
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y015_019,8,38,31.671918905493122,0.22981317107006397,0.11994833829099881,0.07326460672789023,0.5296794580063241
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y015_019,8,38,31.671918905493122,0.18754068454603787,0.08625670858678837,0.0707245588262806,0.41180035657973135
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y015_019,8,38,31.671918905493122,0.08454497304805221,0.06960225002538391,0.01560081395769181,0.34987997345929933
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y015_019,8,38,31.671918905493122,0.10299571149798566,0.028498445993223775,0.059024980380420575,0.17367667635846776
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y015_019,8,38,31.671918905493122,0.10299571149798566,0.028498445993223775,0.059024980380420575,0.17367667635846776
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y015_019,8,38,31.671918905493122,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y015_019,8,38,31.671918905493122,0,0,,
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y020_024,8,40,33.14447193397122,0.9346759322560679,0.028706632621114985,0.8506029341580723,0.9729419764293565
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y020_024,8,40,33.14447193397122,0.788630082719629,0.07253456524200241,0.6139223368765502,0.897481140461753
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y020_024,8,40,33.14447193397122,0.7772336415679516,0.07297999708722205,0.6043164100376092,0.8885239623803933
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y020_024,8,40,33.14447193397122,0.011396441151677428,0.011792860478174934,0.0014795854873370794,0.08230207776429097
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y020_024,8,40,33.14447193397122,0.011396441151677428,0.011792860478174934,0.0014795854873370794,0.08230207776429097
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y020_024,8,40,33.14447193397122,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y020_024,8,40,33.14447193397122,0.14952137903149954,0.06831129939631787,0.057800046979603815,0.33503668314490015
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y025_029,7,19,15.230007745792953,0.7907389991591752,0.07260926552340943,0.6152288605971927,0.8992959103087055
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y025_029,7,19,15.230007745792953,0.7688323113573209,0.07085004693282887,0.6035810085983253,0.8790059689700749
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y025_029,7,19,15.230007745792953,0.7688323113573209,0.07085004693282887,0.6035810085983253,0.8790059689700749
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y025_029,7,19,15.230007745792953,0,0,,
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y025_029,7,19,15.230007745792953,0,0,,
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y025_029,7,19,15.230007745792953,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_9,Mutasa,all,female,Y025_029,7,19,15.230007745792953,0.021906687801854327,0.022759909864016076,0.0027849916651119908,0.15227028844321572
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_024,5,39,32.36173972506545,0.4829592269705886,0.05581570384757464,0.3760647055093866,0.5914363723434238
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_024,5,39,32.36173972506545,0.4453747519511411,0.06929917245514841,0.3166446039172657,0.5818766182072245
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_024,5,39,32.36173972506545,0.43420123375304154,0.06706351698554786,0.31007592638869136,0.56716743756241506
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_024,5,39,32.36173972506545,0.011173518198099622,0.011711744891971061,0.0014130913012760234,0.08276312055012043
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_024,5,39,32.36173972506545,0.011173518198099622,0.011711744891971061,0.0014130913012760234,0.08276312055012043
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_024,5,39,32.36173972506545,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_024,5,39,32.36173972506545,0.018008742467545896,0.018821841975211234,0.002272162266705916,0.12867765306845566
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_019,4,21,16.704799001591464,0.19830842817732267,0.04560103280007974,0.1235667571149568,0.30264758397880626
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_019,4,21,16.704799001591464,0.19830842817732267,0.04560103280007974,0.1235667571149568,0.30264758397880626
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_019,4,21,16.704799001591464,0.19830842817732267,0.04560103280007974,0.1235667571149568,0.30264758397880626
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_019,4,21,16.704799001591464,0,0,,
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_019,4,21,16.704799001591464,0,0,,
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_019,4,21,16.704799001591464,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y015_019,4,21,16.704799001591464,0,0,,
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y020_024,5,18,15.727452361658687,0.758356895228815,0.05155215457127107,0.6438967133250336,0.8448893563824984
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y020_024,5,18,15.727452361658687,0.6844097020053592,0.09561593297263912,0.4766354999407162,0.8377729000139555
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y020_024,5,18,15.727452361658687,0.6624258826556638,0.08830360905308426,0.4750608974956161,0.809703758374396
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y020_024,5,18,15.727452361658687,0.02198381934969538,0.023851965176974212,0.002548909320552267,0.16508058448459412
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y020_024,5,18,15.727452361658687,0.02198381934969538,0.023851965176974212,0.002548909320552267,0.16508058448459412
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y020_024,5,18,15.727452361658687,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y020_024,5,18,15.727452361658687,0.03543207556497744,0.03709861547756646,0.004357038489284117,0.23567679842665845
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y025_029,5,16,13.615636371085309,0.9031615725847739,0.06167565186983227,0.7007199011754466,0.9737882687778743
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y025_029,5,16,13.615636371085309,0.7901052063288309,0.11397769113473534,0.4946294580775921,0.9353904840766991
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y025_029,5,16,13.615636371085309,0.7901052063288309,0.11397769113473534,0.4946294580775921,0.9353904840766991
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y025_029,5,16,13.615636371085309,0,0,,
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y025_029,5,16,13.615636371085309,0,0,,
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y025_029,5,16,13.615636371085309,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_10,Nyanga,all,female,Y025_029,5,16,13.615636371085309,0,0,,
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_024,4,33,30.06402919624075,0.6038028901108303,0.08552116389748311,0.4306163890112099,0.7543611148601429
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_024,4,33,30.06402919624075,0.5426304169302384,0.09210586329087196,0.3643697963273106,0.7106043517854757
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_024,4,33,30.06402919624075,0.4861442819546776,0.07574940849745483,0.34304409413403386,0.6315527177528099
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_024,4,33,30.06402919624075,0.05648613497556079,0.03260931760676393,0.01772599588203548,0.1657028290664748
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_024,4,33,30.06402919624075,0.05648613497556079,0.03260931760676393,0.01772599588203548,0.1657028290664748
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_024,4,33,30.06402919624075,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_024,4,33,30.06402919624075,0.10497209700973312,0.05904617522239443,0.03308822646887132,0.2867152976100134
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_019,4,17,15.284799818439721,0.30717070021959275,0.08991942167418464,0.16226046346269285,0.503686017379016
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_019,4,17,15.284799818439721,0.30717070021959275,0.08991942167418464,0.16226046346269285,0.503686017379016
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_019,4,17,15.284799818439721,0.24634586791075205,0.09476844312807345,0.10729779761656946,0.4705966770346424
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_019,4,17,15.284799818439721,0.06082483230884067,0.06216873503015771,0.007614839061614461,0.35343016332610505
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_019,4,17,15.284799818439721,0.06082483230884067,0.06216873503015771,0.007614839061614461,0.35343016332610505
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_019,4,17,15.284799818439721,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y015_019,4,17,15.284799818439721,0.06082483230884067,0.06216873503015771,0.007614839061614461,0.35343016332610505
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y020_024,4,16,14.841427967109176,0.9384353511741317,0.05036593353787888,0.734093464654471,0.9882578743328769
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y020_024,4,16,14.841427967109176,0.8082538629663578,0.10176830153848189,0.5378477653020044,0.9385277515113789
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y020_024,4,16,14.841427967109176,0.7566622371368764,0.07018611256620289,0.5956448645066573,0.8677927272360657
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y020_024,4,16,14.841427967109176,0.051591625829481395,0.0386894473948318,0.011416748230127272,0.203970610332139
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y020_024,4,16,14.841427967109176,0.051591625829481395,0.0386894473948318,0.011416748230127272,0.203970610332139
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y020_024,4,16,14.841427967109176,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y020_024,4,16,14.841427967109176,0.15477487748844418,0.11606834218449542,0.031171330538214283,0.5103301055437224
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y025_029,3,11,10.889411190386648,0.9119974782002678,0.08404796287486195,0.5709567824572451,0.9877606911360565
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y025_029,3,11,10.889411190386648,0.6521650461837412,0.13786121820830993,0.3629550433059852,0.8605301726849484
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y025_029,3,11,10.889411190386648,0.5784182895087504,0.1845502817309788,0.23738852032143032,0.8581024193281724
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y025_029,3,11,10.889411190386648,0.07374675667499073,0.07893942165854154,0.00819894783975347,0.4340110350475889
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y025_029,3,11,10.889411190386648,0.07374675667499073,0.07893942165854154,0.00819894783975347,0.4340110350475889
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y025_029,3,11,10.889411190386648,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_11,Bindura,all,female,Y025_029,3,11,10.889411190386648,0.08800252179973221,0.08404796287486195,0.012239308863943556,0.4290432175427548
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_024,3,32,31.164894138930006,0.6595462444858982,0.0860459388114872,0.47756806861543794,0.8041337485152524
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_024,3,32,31.164894138930006,0.6595462444858982,0.0860459388114872,0.47756806861543794,0.8041337485152524
