indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y020_024,2,15,15.000000000000002,0.6666666666666666,0.188870673074305,0.2743503176643738,0.9136434630820254
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y020_024,2,15,15.000000000000002,0.6666666666666666,0.188870673074305,0.2743503176643738,0.9136434630820254
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y020_024,2,15,15.000000000000002,0,0,,
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y020_024,2,15,15.000000000000002,0,0,,
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y020_024,2,15,15.000000000000002,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y020_024,2,15,15.000000000000002,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y025_029,2,10,10,0.9,0.0708246357721525,0.6581025068823956,0.9767879810219198
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y025_029,2,10,10,0.8,1.9594475074098102e-17,0.8,0.8
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y025_029,2,10,10,0.8,1.9594475074098102e-17,0.8,0.8
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y025_029,2,10,10,0,0,,
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y025_029,2,10,10,0,0,,
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y025_029,2,10,10,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_64,Shiwang'andu,all,female,Y025_029,2,10,10,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_024,1,4,4,1,0,,
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_024,1,4,4,0.5,0,0.5,0.5
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_024,1,4,4,0.5,0,0.5,0.5
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_024,1,4,4,0,0,,
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_024,1,4,4,0,0,,
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_024,1,4,4,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_024,1,4,4,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_019,1,1,1,1,0,,
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_019,1,1,1,0,0,,
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_019,1,1,1,0,0,,
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_019,1,1,1,0,0,,
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_019,1,1,1,0,0,,
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_019,1,1,1,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y015_019,1,1,1,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y020_024,1,3,2.9999999999999996,1,0,,
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y020_024,1,3,2.9999999999999996,0.6666666666666666,5.551115123125758e-17,0.6666666666666665,0.6666666666666667
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y020_024,1,3,2.9999999999999996,0.6666666666666666,5.551115123125758e-17,0.6666666666666665,0.6666666666666667
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y020_024,1,3,2.9999999999999996,0,0,,
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y020_024,1,3,2.9999999999999996,0,0,,
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y020_024,1,3,2.9999999999999996,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y020_024,1,3,2.9999999999999996,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y025_029,1,1,1,1,0,,
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y025_029,1,1,1,1,0,,
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y025_029,1,1,1,1,0,,
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y025_029,1,1,1,0,0,,
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y025_029,1,1,1,0,0,,
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y025_029,1,1,1,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_65,Chilubi,all,female,Y025_029,1,1,1,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_024,2,4,3.499215663048169,1,0,,
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_024,2,4,3.499215663048169,1,0,,
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_024,2,4,3.499215663048169,0.8445757997218359,0.1517163327768829,0.36063474160019704,0.9812560595317187
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_024,2,4,3.499215663048169,0.15542420027816412,0.15171633277688293,0.01874394046828146,0.639365258399803
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_024,2,4,3.499215663048169,0.15542420027816412,0.15171633277688293,0.01874394046828146,0.639365258399803
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_024,2,4,3.499215663048169,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_024,2,4,3.499215663048169,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_019,1,1,1,1,0,,
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_019,1,1,1,1,0,,
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_019,1,1,1,0,0,,
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_019,1,1,1,1,0,,
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_019,1,1,1,1,0,,
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_019,1,1,1,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y015_019,1,1,1,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y020_024,2,3,2.7264880167063237,1,0,,
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y020_024,2,3,2.7264880167063237,1,0,,
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y020_024,2,3,2.7264880167063237,1,0,,
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y020_024,2,3,2.7264880167063237,0,0,,
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y020_024,2,3,2.7264880167063237,0,0,,
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y020_024,2,3,2.7264880167063237,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y020_024,2,3,2.7264880167063237,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y025_029,2,5,4.335466960681338,1,0,,
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y025_029,2,5,4.335466960681338,1,0,,
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y025_029,2,5,4.335466960681338,1,0,,
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y025_029,2,5,4.335466960681338,0,0,,
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y025_029,2,5,4.335466960681338,0,0,,
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y025_029,2,5,4.335466960681338,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_66,Kaputa,all,female,Y025_029,2,5,4.335466960681338,0.16084922634041024,0.0812490757751993,0.05563392779974826,0.3841133480531207
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_024,5,70,66.3582004679233,0.6275135167972784,0.04410804438007629,0.5378546196668588,0.7091831525865575
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_024,5,70,66.3582004679233,0.47521414251868055,0.08285672107283795,0.3207320337665213,0.6345902501952473
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_024,5,70,66.3582004679233,0.28512848551120834,0.08740969119887795,0.1468322318404995,0.48034506100414587
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_024,5,70,66.3582004679233,0.1900856570074722,0.05524901015491637,0.10406760675485836,0.32167535278654946
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_024,5,70,66.3582004679233,0.1900856570074722,0.05524901015491637,0.10406760675485836,0.32167535278654946
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_024,5,70,66.3582004679233,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_024,5,70,66.3582004679233,0.027155093858210317,0.018290202991506355,0.007134630852341622,0.09781995732880625
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_019,5,35,31.958302190836513,0.3937026104068993,0.10113815278314735,0.22059258458055628,0.5983673161307516
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_019,5,35,31.958302190836513,0.3104705678069109,0.12013302746840103,0.13035994972738602,0.5749165437334349
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_019,5,35,31.958302190836513,0.15523528390345545,0.041053402608319876,0.09048758373450305,0.25340451488084453
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_019,5,35,31.958302190836513,0.15523528390345545,0.0829080380758102,0.050534115796003296,0.38817702274128696
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_019,5,35,31.958302190836513,0.15523528390345545,0.0829080380758102,0.050534115796003296,0.38817702274128696
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_019,5,35,31.958302190836513,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y015_019,5,35,31.958302190836513,0.05174509463448515,0.035647330757083005,0.012968250739341023,0.18476534997924174
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y020_024,4,35,35,0.8857142857142857,0.06739652057275286,0.67759134562712,0.9661918712368255
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y020_024,4,35,35,0.6571428571428571,0.08747854997430878,0.47242838625398903,0.8040140194220938
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y020_024,4,35,35,0.42857142857142855,0.1599154500386374,0.17257090724041174,0.7295125878780435
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y020_024,4,35,35,0.22857142857142856,0.0753227588540091,0.11368426982323712,0.4063337443307784
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y020_024,4,35,35,0.22857142857142856,0.0753227588540091,0.11368426982323712,0.4063337443307784
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y020_024,4,35,35,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y020_024,4,35,35,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y025_029,5,26,23.898548104630205,0.9296616837136114,0.06159912738513439,0.6759429829716664,0.9882003879956741
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y025_029,5,26,23.898548104630205,0.8593233674272227,0.09554649152855707,0.5647750091514142,0.9663917765015465
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y025_029,5,26,23.898548104630205,0.7889850511408341,0.10869498558225531,0.5098023327362993,0.9307599812515721
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y025_029,5,26,23.898548104630205,0.07033831628638867,0.024788979982571437,0.034739997189314135,0.13722852158897292
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y025_029,5,26,23.898548104630205,0.07033831628638867,0.024788979982571437,0.034739997189314135,0.13722852158897292
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y025_029,5,26,23.898548104630205,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_67,Kasama,all,female,Y025_029,5,26,23.898548104630205,0.10550747442958301,0.04625711060519606,0.04318453986908054,0.2356241776334124
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_024,2,14,14.000000000000002,1,0,,
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_024,2,14,14.000000000000002,0.7142857142857142,0.05781397660157329,0.5892959176228462,0.8132892137008744
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_024,2,14,14.000000000000002,0.2857142857142857,0.05781397660157334,0.1867107862991254,0.4107040823771539
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_024,2,14,14.000000000000002,0.42857142857142855,0.11562795320314669,0.22915757286366517,0.6542356140500322
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_024,2,14,14.000000000000002,0.42857142857142855,0.11562795320314669,0.22915757286366517,0.6542356140500322
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_024,2,14,14.000000000000002,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_024,2,14,14.000000000000002,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_019,2,5,5,1,0,,
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_019,2,5,5,0.8,0.05666089936049259,0.66645861590555,0.888981307824255
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_019,2,5,5,0,0,,
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_019,2,5,5,0.8,0.05666089936049259,0.66645861590555,0.888981307824255
sexnonregplus,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_019,2,5,5,0.8,0.05666089936049259,0.66645861590555,0.888981307824255
sexpaid12m,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_019,2,5,5,0,0,,
sti12m,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y015_019,2,5,5,0,0,,
eversex,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y020_024,2,9,8.999999999999998,1,0,,
sex12m,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y020_024,2,9,8.999999999999998,0.6666666666666667,0.052464075853973655,0.5573521008859226,0.7605817952031056
sexcohab,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y020_024,2,9,8.999999999999998,0.4444444444444445,0.06995210113863144,0.31466199430833613,0.5822765811655765
sexnonreg,ZMB2007DHS,CY2007Q3,ZMB_2_68,Lunte,all,female,Y020_024,2,9,8.999999999999998,0.22222222222222224,0.1224161769926051,0.06654981039059123,0.5338011098401962
