indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
sexnonregplus,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y015_019,2,5,4.31419710937263,0,0,,
sexpaid12m,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y015_019,2,5,4.31419710937263,0,0,,
sti12m,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y015_019,2,5,4.31419710937263,0,0,,
eversex,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y020_024,2,6,4.838342591011493,0.9999999999999999,7.902203384940172e-17,0.9999999999999996,1
sex12m,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y020_024,2,6,4.838342591011493,0.6089203248937178,0.08707244451971044,0.4319579277056422,0.761227224188144
sexcohab,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y020_024,2,6,4.838342591011493,0.6089203248937178,0.08707244451971044,0.4319579277056422,0.761227224188144
sexnonreg,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y020_024,2,6,4.838342591011493,0,0,,
sexnonregplus,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y020_024,2,6,4.838342591011493,0,0,,
sexpaid12m,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y020_024,2,6,4.838342591011493,0,0,,
sti12m,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y020_024,2,6,4.838342591011493,0,0,,
eversex,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y025_029,2,10,8.151403836297904,1,0,,
sex12m,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y025_029,2,10,8.151403836297904,0.9388829484407628,0.05482930727100399,0.7024765289103763,0.9900942128018593
sexcohab,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y025_029,2,10,8.151403836297904,0.9388829484407628,0.05482930727100399,0.7024765289103763,0.9900942128018593
sexnonreg,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y025_029,2,10,8.151403836297904,0,0,,
sexnonregplus,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y025_029,2,10,8.151403836297904,0,0,,
sexpaid12m,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y025_029,2,10,8.151403836297904,0,0,,
sti12m,MOZ2015AIS,CY2015Q3,MOZ_2_0923,Eráti,all,female,Y025_029,2,10,8.151403836297904,0,0,,
eversex,MOZ2015AIS,CY2015Q3,MOZ_2_1001,Mecufi,all,female,Y015_024,1,5,5.000000000000001,1,0,,
sex12m,MOZ2015AIS,CY2015Q3,MOZ_2_1001,Mecufi,all,female,Y015_024,1,5,5.000000000000001,1,0,,
sexcohab,MOZ2015AIS,CY2015Q3,MOZ_2_1001,Mecufi,all,female,Y015_024,1,5,5.000000000000001,0.6000000000000001,8.326672684688637e-17,0.5999999999999999,0.6000000000000002
sexnonreg,MOZ2015AIS,CY2015Q3,MOZ_2_1001,Mecufi,all,female,Y015_024,1,5,5.000000000000001,0.4,5.551115123125758e-17,0.3999999999999999,0.40000000000000013
sexnonregplus,MOZ2015AIS,CY2015Q3,MOZ_2_1001,Mecufi,all,female,Y015_024,1,5,5.000000000000001,0.4,5.551115123125758e-17,0.3999999999999999,0.40000000000000013
sexpaid12m,MOZ2015AIS,CY2015Q3,MOZ_2_1001,Mecufi,all,female,Y015_024,1,5,5.000000000000001,0,0,,
sti12m,MOZ2015AIS,CY2015Q3,MOZ_2_1001,Mecufi,all,female,Y015_024,1,5,5.000000000000001,0.4,5.551115123125758e-17,0.3999999999999999,0.40000000000000013
eversex,MOZ2015AIS,CY2015Q3,MOZ_2_1001,Mecufi,all,female,Y015_019,1,4,4,1,0,,
