indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
sex12m,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y020_024,264,1027,903.1785129608606,0.7968390583298884,0.015078041965280039,0.7656849270037984,0.8247987926063945
sexcohab,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y020_024,264,1027,903.1785129608606,0.3085432974919682,0.019392952529358028,0.2718812731018518,0.3477876604952539
sexnonreg,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y020_024,264,1027,903.1785129608606,0.4882957608379202,0.017908705388983204,0.45331038134692786,0.5233961859730734
sexnonregplus,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y020_024,264,1027,903.1785129608606,0.4882957608379202,0.017908705388983204,0.45331038134692786,0.5233961859730734
sexpaid12m,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y020_024,264,1027,903.1785129608606,0,0,,
sti12m,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y020_024,264,1025,901.2168463151002,0.1276011949451391,0.010976918625124423,0.10758938317520268,0.1507066431809023
eversex,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y025_029,247,723,640.5441752127075,0.9752450907191427,0.006180514332036285,0.9597631459388255,0.9848639887421924
sex12m,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y025_029,247,731,647.9079170753408,0.8649445761764174,0.014063918876367596,0.8349345993405571,0.8902159427831481
sexcohab,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y025_029,247,731,647.9079170753408,0.5113094772309806,0.02103363797295535,0.47010084617043146,0.5523649593108589
sexnonreg,SWZ2006DHS,CY2006Q4,SWZ,Eswatini,all,female,Y025_029,247,731,647.9079170753408,0.3536350989454369,0.018821651434199088,0.317672849484353,0.391333566830199
