indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
sexnonreg,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y015_019,27,59,54.30608966809292,0.3063303028090593,0.06377432954452705,0.19693410792326962,0.4429751056707411
sexnonregplus,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y015_019,27,59,54.30608966809292,0.3063303028090593,0.06377432954452705,0.19693410792326962,0.4429751056707411
sexpaid12m,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y015_019,27,59,54.30608966809292,0,0,,
sti12m,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y015_019,27,59,54.30608966809292,0.07765620443089896,0.03378206447627317,0.0323255439429251,0.1750551891249106
eversex,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y020_024,29,85,73.03711369610278,0.7729141523029861,0.05069738057907987,0.6589716541591624,0.8570455217573911
sex12m,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y020_024,29,85,73.03711369610278,0.7597624304884294,0.0534474974767757,0.6404805310851216,0.8488108386066326
sexcohab,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y020_024,29,85,73.03711369610278,0.1167807985460533,0.0502244730374238,0.04844540330751039,0.25561425094616835
sexnonreg,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y020_024,29,85,73.03711369610278,0.6429816319423761,0.06113773785348497,0.516576807120093,0.7521899413472088
sexnonregplus,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y020_024,29,85,73.03711369610278,0.6429816319423761,0.06113773785348497,0.516576807120093,0.7521899413472088
sexpaid12m,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y020_024,29,85,73.03711369610278,0,0,,
sti12m,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y020_024,29,85,73.03711369610278,0.14820739531194962,0.03840432687981689,0.08746600536979678,0.24003533545960082
eversex,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y025_029,23,62,54.5728348555391,0.9544789604876587,0.027059879117252494,0.8608453550885468,0.9861244318620581
sex12m,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y025_029,23,62,54.5728348555391,0.8116948193285649,0.04267137541119669,0.7137937080041852,0.8816594954910986
sexcohab,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y025_029,23,62,54.5728348555391,0.13079510333143743,0.042697905924062196,0.06722906431873638,0.23906003330894426
sexnonreg,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y025_029,23,62,54.5728348555391,0.6808997159971275,0.06208820991019022,0.549297747299481,0.788846353100132
sexnonregplus,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y025_029,23,62,54.5728348555391,0.6808997159971275,0.06208820991019022,0.549297747299481,0.788846353100132
sexpaid12m,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y025_029,23,62,54.5728348555391,0,0,,
sti12m,ZAF2016DHS,CY2016Q3,ZAF_2_ETH,eThekwini MM,all,female,Y025_029,23,62,54.5728348555391,0.17610044652682433,0.04762920264766972,0.10097822122768756,0.2891356347807498
eversex,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_024,9,37,34.90450704077795,0.6545906498933634,0.054608244140128666,0.5413821230114422,0.7526231359282064
sex12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_024,9,37,34.90450704077795,0.5072158601332243,0.07455626287573051,0.3645275330464115,0.6487382313898015
sexcohab,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_024,9,37,34.90450704077795,0.05814176700586507,0.03664772779609834,0.016356618517170404,0.18644000654486229
sexnonreg,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_024,9,37,34.90450704077795,0.35240216854241657,0.09747821314358265,0.1906699260758737,0.5569195374234219
sexnonregplus,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_024,9,37,34.90450704077795,0.4490740931273592,0.06542757047971684,0.3267916387540451,0.5778386839632302
sexpaid12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_024,9,37,34.90450704077795,0.09667192458494257,0.06733076305639579,0.023068663347952257,0.32660417991700613
sti12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_024,9,37,34.90450704077795,0.08116257942164791,0.039818917797243614,0.03008551595109014,0.2009855920399988
eversex,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_019,8,15,14.522396359471168,0.29887764436263714,0.10336681137863009,0.13949868241255106,0.5285099679803756
sex12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_019,8,15,14.522396359471168,0.29887764436263714,0.10336663609077254,0.1394988792168493,0.5285095594367902
sexcohab,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_019,8,15,14.522396359471168,0.04868906226162994,0.04731616953271255,0.0068640524397116315,0.27483993109099336
sexnonreg,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_019,8,15,14.522396359471168,0.2501885821010072,0.07955121891118179,0.12688910200071912,0.4337752714315156
sexnonregplus,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_019,8,15,14.522396359471168,0.2501885821010072,0.07955121891118179,0.12688910200071912,0.4337752714315156
sexpaid12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_019,8,15,14.522396359471168,0,0,,
sti12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y015_019,8,15,14.522396359471168,0.14720648926776123,0.07834934162184186,0.04834113585842625,0.3697152595466327
eversex,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y020_024,9,22,20.40631873125928,0.8945052177931395,0.05547070055693147,0.7281959549210234,0.9640747931374393
sex12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y020_024,9,22,20.40631873125928,0.647731872301616,0.08639507557990374,0.4667924349849546,0.7943248497577812
sexcohab,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y020_024,9,22,20.40631873125928,0.06451724819136095,0.051908933332434556,0.012619360135817943,0.271220959839221
sexnonreg,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y020_024,9,22,20.40631873125928,0.42134125157647484,0.14923777530512397,0.1799090985714007,0.7073242373496877
sexnonregplus,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y020_024,9,22,20.40631873125928,0.583214624110255,0.08554976487390799,0.41245622764954926,0.7360985691247522
sexpaid12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y020_024,9,22,20.40631873125928,0.16187337253378023,0.10426342620866404,0.04106773063050166,0.4655268155658802
sti12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y020_024,9,22,20.40631873125928,0.03661853451246233,0.036940933444275174,0.0048579453832427195,0.2283731853250216
eversex,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y025_029,7,19,18.07040188272736,1,0,,
sex12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y025_029,7,20,18.996048023164168,0.9336168958696198,0.04841287668163561,0.7526129673168318,0.9848524071271253
sexcohab,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y025_029,7,20,18.996048023164168,0.1266000719324842,0.06664901958899065,0.042584201244436425,0.32082859932197755
sexnonreg,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y025_029,7,20,18.996048023164168,0.8070168239371356,0.047942718480485196,0.6958032729607727,0.884330170755927
sexnonregplus,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y025_029,7,20,18.996048023164168,0.8070168239371356,0.047942718480485196,0.6958032729607727,0.884330170755927
sexpaid12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y025_029,7,20,18.996048023164168,0,0,,
sti12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC21,Ugu DM,all,female,Y025_029,7,20,18.996048023164168,0.17552679379085578,0.0794234644291336,0.0676968911294314,0.38431139977741
eversex,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_024,9,46,44.40226658189618,0.6686032982067794,0.07900492640717152,0.5007555451810125,0.8022992788019043
sex12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_024,9,46,44.40226658189618,0.5951738523455217,0.06600725625091203,0.4621858046244893,0.7155182166497671
sexcohab,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_024,9,46,44.40226658189618,0.01788649409561904,0.015917869121410196,0.0030740705743536488,0.09711949470678202
sexnonreg,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_024,9,46,44.40226658189618,0.5528692638133994,0.0584688554796949,0.4375035798458289,0.6628098093972067
sexnonregplus,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_024,9,46,44.40226658189618,0.5772873582499026,0.05309583757634467,0.47133009335694165,0.6765803827558609
sexpaid12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_024,9,46,44.40226658189618,0.02441809443650319,0.023238506868048982,0.003685420186847085,0.1448298478258916
sti12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_024,9,46,44.40226658189618,0.11333381562681374,0.04255927328485105,0.05278914592704885,0.22669888993203965
eversex,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_019,9,23,22.17452138505013,0.392757227912115,0.09754109203636649,0.22490261132385375,0.590455146528162
sex12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_019,9,23,22.17452138505013,0.392757227912115,0.09754092662767468,0.22490284828154616,0.5904548178216437
sexcohab,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_019,9,23,22.17452138505013,0.035381762758914345,0.035617175765312314,0.004721437018810948,0.22094594559228214
sexnonreg,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_019,9,23,22.17452138505013,0.3573754651532006,0.09201469749136067,0.20228862032000494,0.5494636881276316
sexnonregplus,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_019,9,23,22.17452138505013,0.3573754651532006,0.09201469749136067,0.20228862032000494,0.5494636881276316
sexpaid12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_019,9,23,22.17452138505013,0,0,,
sti12m,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y015_019,9,23,22.17452138505013,0.03678684779257415,0.03555237900303775,0.005316180674161942,0.2144009142919074
eversex,ZAF2016DHS,CY2016Q3,ZAF_2_DC22,uMgungundlovu DM,all,female,Y020_024,8,23,22.23458321941707,0.9506177789547364,0.04408745417273806,0.7533958868853892,0.9918231404335637
