indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
sti12m,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y015_024,9,137,122.98881535788603,0.11008747235141203,0.030942874589223384,0.06245053096665729,0.18682088761150903
eversex,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y015_019,9,72,63.887629724931735,0.5485872602788961,0.060549780316627014,0.42940906138219376,0.6624409825042057
sex12m,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y015_019,9,72,63.887629724931735,0.47997296748935303,0.047627581543516435,0.388375851478122,0.5729365486038427
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y015_019,9,72,63.887629724931735,0.12486376376841338,0.047952985114556645,0.05693302794089656,0.25217400706166404
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y015_019,9,72,63.887629724931735,0.343914862268541,0.03941678974152343,0.2712511205197467,0.42469997805919446
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y015_019,9,72,63.887629724931735,0.3551092037209397,0.041105884328933626,0.2791941843739494,0.4390917296266903
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y015_019,9,72,63.887629724931735,0.011194341452398688,0.010986133034677874,0.0016156913350424084,0.07338603213092629
sti12m,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y015_019,9,72,63.887629724931735,0.04266054743669404,0.0195229118391499,0.017161121902440925,0.10211262717401146
eversex,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y020_024,9,65,59.10539793764794,0.9771735155410498,0.015721194436879207,0.9149267820467025,0.9941657242580032
sex12m,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y020_024,9,65,59.10539793764794,0.8837291252726874,0.04431893125348622,0.7654611404055748,0.9465257951108055
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y020_024,9,65,59.10539793764794,0.5761347307661628,0.0672096738211842,0.4421365923796163,0.6998002963092791
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y020_024,9,65,59.10539793764794,0.2839203140869453,0.04258978038147963,0.20822206518181965,0.37413456803407397
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y020_024,9,65,59.10539793764794,0.3075943945065246,0.043911990724716195,0.2287305633209239,0.3995628821513219
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y020_024,9,65,59.10539793764794,0.023674080419579333,0.020744317560044117,0.0041583487098804965,0.12342797067702828
sti12m,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y020_024,9,65,59.10539793764794,0.1838288584317202,0.05770600743879704,0.0958292550236653,0.3237070259062496
eversex,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y025_029,9,50,44.833652439799756,0.9803658379063911,0.019529192212432284,0.8723753504161674,0.9972658133392789
sex12m,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y025_029,9,50,44.833652439799756,0.8448659370855786,0.06355459346076851,0.6779795803120733,0.9337191313823003
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y025_029,9,50,44.833652439799756,0.6780041103157584,0.03688900770746464,0.6019114468467224,0.7456970753403945
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y025_029,9,50,44.833652439799756,0.15239608833254958,0.055654184236288574,0.07173153089795453,0.29494844405410037
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y025_029,9,50,44.833652439799756,0.16686182676982023,0.0532374167664581,0.08638437448426546,0.29786952339529105
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y025_029,9,50,44.833652439799756,0.014465738437270656,0.014478511238830826,0.002001431110581592,0.0970086830754448
sti12m,MWI2015DHS,CY2015Q4,MWI_5_25,Zomba City,all,female,Y025_029,9,50,44.833652439799756,0.21885720071737277,0.041600437684221066,0.14813947367472569,0.31100855684300516
eversex,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_024,29,318,305.4288448004214,0.7500995809821884,0.02960909984470931,0.6877353702152535,0.8035661520418542
sex12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_024,29,318,305.4288448004214,0.6737064800219313,0.027632777499342245,0.617422896514926,0.7253925589642813
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_024,29,318,305.4288448004214,0.4621811961711557,0.024294209449675912,0.4150508896084288,0.50999724910439
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_024,29,318,305.4288448004214,0.20147751372611733,0.031751210304055845,0.14630348540306026,0.2708571582210041
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_024,29,318,305.4288448004214,0.2115252838507756,0.02970825722865718,0.15910851205369175,0.275551642532463
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_024,29,318,305.4288448004214,0.010047770124658274,0.005564486724608407,0.003379113417965515,0.029487585664243525
sti12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_024,29,318,305.4288448004214,0.0752070149787921,0.013584672734835511,0.05254322246905198,0.10654718354323743
eversex,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_019,29,161,156.1217425926412,0.5782266665582059,0.04975748510425378,0.4789170773250421,0.6715883066902686
sex12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_019,29,161,156.1217425926412,0.5013279968652491,0.045588177796758604,0.4128744165015013,0.5896985323218799
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_019,29,161,156.1217425926412,0.22073422978273163,0.040168215409611824,0.15198881552830956,0.30923490288848265
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_019,29,161,156.1217425926412,0.26110091541680297,0.0530296163218136,0.17093903495446824,0.37718305382998357
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_019,29,161,156.1217425926412,0.2805937670825175,0.05039077526294079,0.19297619031925914,0.3888259121346827
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_019,29,161,156.1217425926412,0.01949285166571451,0.010834425008936412,0.006502419330698416,0.056947781421038825
sti12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y015_019,29,161,156.1217425926412,0.06318748628100981,0.018016863661902312,0.03581479511559991,0.10911320318346297
eversex,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y020_024,29,157,149.33014577744893,0.9329396684161099,0.020320363431580724,0.8803930099698263,0.963361833276444
sex12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y020_024,29,157,149.33014577744893,0.8570843964186098,0.028738561557161226,0.7910785299413009,0.9047475690913388
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y020_024,29,157,149.33014577744893,0.719034840580845,0.0373112102278943,0.6405377208620324,0.7861141438416379
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y020_024,29,157,149.33014577744893,0.13804955583776476,0.03288555659299002,0.08523488361217002,0.21586744026644655
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y020_024,29,157,149.33014577744893,0.13804955583776476,0.03288555659299002,0.08523488361217002,0.21586744026644655
