iso3,indicator,survey_id,age_group,area_id,area_name,area_id_aggr,area_sort_order,center_x,center_y,n_clusters,n_observations,n_eff_kish,x_eff,estimate_raw,ci_lower_raw,ci_upper_raw,population_mean,model,estimate_smoothed,median_smoothed,ci_lower_smoothed,ci_upper_smoothed,lambda_median,lambda_lower,lambda_upper,local_dic,local_waic
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_13,Salima,MWI_1_2,79,34.45397644726398,-13.766929210379374,30,343,292.09416141744254,34.67137461392883,0.11869930725653462,0.08416446521364927,0.1648539314956968,,Model 7,0.09633289543108095,0.09696198587866994,0.09063107325506557,0.10226454453951381,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_14,Lilongwe,MWI_1_2,80,33.49846805273636,-14.043042744804868,23,249,234.30402596751233,103.96803612114303,0.44373132596346776,0.3834756402020304,0.5056891150861922,,Model 7,0.4094400466776485,0.40858529835048674,0.4004591412478821,0.41581928668168167,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_14,Lilongwe,MWI_1_2,80,33.49846805273636,-14.043042744804868,23,249,234.30402596751233,119.55032670527977,0.5102359048745332,0.4393375614776651,0.5807248412167877,,Model 7,0.4946435663393944,0.4951910708322481,0.4860038279854541,0.5034716448001677,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_14,Lilongwe,MWI_1_2,80,33.49846805273636,-14.043042744804868,23,249,234.30402596751233,10.78566314108954,0.04603276916199911,0.02234892379750289,0.09244192530551831,,Model 7,0.09591638698295711,0.09661311027164579,0.08983165517927783,0.10200402597569372,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_15,Mchinji,MWI_1_2,81,33.02017291331871,-13.78077378384876,29,337,278.42266152679736,108.88660138998856,0.39108383201598174,0.3216997986742969,0.4651699606307528,,Model 7,0.4089007325870701,0.40805828090018403,0.3999431622174672,0.41528741632425736,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_15,Mchinji,MWI_1_2,81,33.02017291331871,-13.78077378384876,29,337,278.42266152679736,131.40330307536334,0.471956206275674,0.3982138902762179,0.5469430278156308,,Model 7,0.49522155435109616,0.4955721668342673,0.4872231234613257,0.5028932234583718,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_15,Mchinji,MWI_1_2,81,33.02017291331871,-13.78077378384876,29,337,278.42266152679736,38.132757061445474,0.13695996170834432,0.09942525386313811,0.18574211705666163,,Model 7,0.09587771306183386,0.09641404698472085,0.08974984129230432,0.1018951925887715,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_16,Dedza,MWI_1_2,82,34.318377383724524,-14.239848948358318,30,368,333.8931155202189,154.58158145707165,0.46296726189225956,0.405491804335985,0.5214439403561404,,Model 7,0.40916353572408076,0.40828997598185157,0.40033425113496557,0.41535645177998426,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_16,Dedza,MWI_1_2,82,34.318377383724524,-14.239848948358318,30,368,333.8931155202189,156.09044937912168,0.46748627666649095,0.40627487644970794,0.5296923075293832,,Model 7,0.49494023486500527,0.4952204418806522,0.48641741488501256,0.5030417921784862,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_16,Dedza,MWI_1_2,82,34.318377383724524,-14.239848948358318,30,368,333.8931155202189,23.221084684025563,0.06954646144124949,0.04730955968353708,0.10112591261718439,,Model 7,0.0958962294109139,0.09651490569865423,0.09003883248974232,0.10179509234396109,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_17,Ntcheu,MWI_1_2,83,34.768812583096306,-14.823401860816109,31,359,312.8122379185654,141.18281961367754,0.4513340672126509,0.3972401620651155,0.506603083674837,,Model 7,0.4106389121749397,0.40996071161692943,0.4011767161573004,0.41664915609729275,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_17,Ntcheu,MWI_1_2,83,34.768812583096306,-14.823401860816109,31,359,312.8122379185654,132.109376322457,0.4223280303913464,0.36977983826605076,0.47669533127013997,,Model 7,0.49330092076854104,0.49404214019428905,0.48486141838823776,0.5017840729548169,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_17,Ntcheu,MWI_1_2,83,34.768812583096306,-14.823401860816109,31,359,312.8122379185654,39.5200419824309,0.1263379023960027,0.0886483785350405,0.17694032902876985,,Model 7,0.09606016705651932,0.09674099168189004,0.09023505007874863,0.10216921616547742,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_18,Lilongwe City,MWI_1_2,84,33.78466792908087,-13.910102286606284,24,224,178.998067814372,70.44240011050655,0.393537209482943,0.3139557041033406,0.47920070665476966,,Model 7,0.3821305426007181,0.3811826333784309,0.37309778424936824,0.3881112168783446,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_18,Lilongwe City,MWI_1_2,84,33.78466792908087,-13.910102286606284,24,224,178.998067814372,82.79353630215452,0.46253871515537615,0.37032392925248475,0.5573895852087606,,Model 7,0.5248593470045775,0.525377402845717,0.5168761501417122,0.5333532029028523,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_18,Lilongwe City,MWI_1_2,84,33.78466792908087,-13.910102286606284,24,224,178.998067814372,25.762131401710917,0.14392407536168075,0.09510818940331807,0.21192747331430253,,Model 7,0.0930101103947045,0.09347250898179499,0.08750938483853798,0.09896421507600175,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_19,Mangochi,MWI_1_3,85,35.328070152406454,-14.141555840283553,30,350,300.63695119176015,98.5217720003865,0.32771012215841944,0.2641656574199024,0.39826687304120023,,Model 7,0.4089064680187423,0.40796515215872253,0.39987336098300974,0.4153810815711121,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_19,Mangochi,MWI_1_3,85,35.328070152406454,-14.141555840283553,30,350,300.63695119176015,164.7367897251187,0.547959221486523,0.47606118793097063,0.6179097251841995,,Model 7,0.4952115845503677,0.4953698432341875,0.48667201765249646,0.5029524947409871,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_19,Mangochi,MWI_1_3,85,35.328070152406454,-14.141555840283553,30,350,300.63695119176015,37.378389466254944,0.12433065635505756,0.09490670438683063,0.16125168981382373,,Model 7,0.09588194743089001,0.09640526435013509,0.0899440025398818,0.10220652778196337,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_20,Machinga,MWI_1_3,86,35.602032476938035,-14.909474153961227,30,296,244.80643200847751,70.24979119418191,0.2869605615253982,0.21901747728042753,0.36610047540639656,,Model 7,0.4106542363007474,0.4097794824437804,0.4015102238186653,0.41735579787625726,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_20,Machinga,MWI_1_3,86,35.602032476938035,-14.909474153961227,30,296,244.80643200847751,139.70662414906786,0.5706819996634316,0.48569485686971553,0.6516964820550166,,Model 7,0.49327853888429674,0.4936874819622612,0.4843838237137554,0.5010659937577487,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_20,Machinga,MWI_1_3,86,35.602032476938035,-14.909474153961227,30,296,244.80643200847751,34.85001666522776,0.1423574388111703,0.10113965083186408,0.19669703910046446,,Model 7,0.09606722481495576,0.09668946492724065,0.09029636204325131,0.10210884544777868,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_21,Zomba,MWI_1_3,87,35.348680528401296,-15.440977985535987,25,293,253.491891048938,89.71193245705201,0.35390454537156235,0.29667194894485127,0.415653147176287,,Model 7,0.4131187807371289,0.412111561521213,0.4043077980058883,0.4198679725571642,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_21,Zomba,MWI_1_3,87,35.348680528401296,-15.440977985535987,25,293,253.491891048938,129.32597468254045,0.5101779553870359,0.4276660929993668,0.5921389414759839,,Model 7,0.4905534022447022,0.4909573278895534,0.4817349288180347,0.49892786517136845,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_21,Zomba,MWI_1_3,87,35.348680528401296,-15.440977985535987,25,293,253.491891048938,34.4539839093455,0.13591749924140167,0.09220176828202109,0.19588768229731102,,Model 7,0.09632781701816884,0.09703635981284199,0.09050980331306775,0.10223522057268761,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_22,Mulanje,MWI_1_3,88,35.54402218968039,-15.908156274932535,30,343,297.14630855530135,108.90457472341156,0.3665015232829101,0.31116206441284344,0.42560205035713217,,Model 7,0.41563870466738023,0.41469867256276,0.4065453719238617,0.42175139011435975,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_22,Mulanje,MWI_1_3,88,35.54402218968039,-15.908156274932535,30,343,297.14630855530135,154.6857205723265,0.5205708976308492,0.4564124167266877,0.584057921847151,,Model 7,0.487767087304508,0.48839037471531677,0.4793977647875688,0.49682161230031174,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_22,Mulanje,MWI_1_3,88,35.54402218968039,-15.908156274932535,30,343,297.14630855530135,33.556013259563265,0.11292757908624067,0.08294738942214615,0.15194826863361433,,Model 7,0.09659420802811167,0.0973472711398603,0.09073232313063664,0.10262362395642806,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_23,Phalombe,MWI_1_3,89,35.66749292862791,-15.69332650228596,29,327,300.18940386678764,80.99027497072245,0.2697972477624919,0.2194886823619412,0.32680872931879057,,Model 7,0.4181119864009839,0.4170882421533261,0.40930401106453385,0.42462519001480137,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_23,Phalombe,MWI_1_3,89,35.66749292862791,-15.69332650228596,29,327,300.18940386678764,199.08761291527648,0.663206663362521,0.602103981157429,0.71930057105941,,Model 7,0.48503420891115284,0.4854067416342809,0.47642503737624586,0.4935715500119404,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_23,Phalombe,MWI_1_3,89,35.66749292862791,-15.69332650228596,29,327,300.18940386678764,20.11151598078871,0.06699608887498713,0.04152522669725023,0.10635669916557525,,Model 7,0.09685380468786325,0.09756897761616858,0.09090820836071958,0.10310536412716026,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_24,Balaka,MWI_1_3,90,35.060852170308976,-15.035854949993102,31,359,301.0272913820707,109.922778303456,0.3651588458932765,0.29873462500533965,0.4371457665937286,,Model 7,0.41457950965245044,0.41353945230369227,0.4059357538259257,0.4209757965136338,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_24,Balaka,MWI_1_3,90,35.060852170308976,-15.035854949993102,31,359,301.0272913820707,149.68693880294472,0.4972537144911511,0.41788711402495354,0.5767589529614415,,Model 7,0.4889339430243555,0.48939466313230845,0.48027536490950373,0.4975296072979055,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_24,Balaka,MWI_1_3,90,35.060852170308976,-15.035854949993102,31,359,301.0272913820707,41.41757427566996,0.13758743961557238,0.0956432055078575,0.19398071192366567,,Model 7,0.09648654732319398,0.09702592880972838,0.09062553638055787,0.10270737668280114,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_25,Zomba City,MWI_1_3,91,35.32190832849267,-15.394038611922465,3,27,23.77545817861141,13.797212793314205,0.5803132242358335,0.39836863883356255,0.7427642601296862,,Model 7,0.3914223056361769,0.3904630022532397,0.38320205732728674,0.39768802828869665,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_25,Zomba City,MWI_1_3,91,35.32190832849267,-15.394038611922465,3,27,23.77545817861141,7.641252798185105,0.32139245186278836,0.19514989764880195,0.4805418488151937,,Model 7,0.5145912817326354,0.515007669491685,0.5063090906043426,0.522606203774702,,,,,
