indicator,age_group,area_id,area_name,area_idx,area_id_aggr,area_sort_order,center_x,center_y,survey_id,n_clusters,n_observations,n_eff_kish,x_eff,estimate,ci_lower,ci_upper,n_observations_aggr,estimate_aggr,ci_lower_aggr,ci_upper_aggr,mean,median,lower,upper
sexcohab,Y015_024,MWI_5_24,Balaka,24,MWI_1_3,90,35.060852170308976,-15.035854949993102,MWI2015DHS,30,391,346.1203841191246,144.10827933774334,0.4163530550345901,0.3545430478154683,0.48091013909266883,4790,0.46323006521539806,0.44353135181582426,0.48304421727773317,0.42365625886298164,0.4235612583408188,0.37473281636179223,0.4731182091933901
sexcohab,Y015_024,MWI_5_25,Zomba City,25,MWI_1_3,91,35.32190832849267,-15.394038611922465,MWI2015DHS,9,137,122.98881535788603,41.86620052742529,0.340406567911062,0.2545012341747442,0.4382621362002356,4790,0.46323006521539806,0.44353135181582426,0.48304421727773317,0.3694362982909199,0.36909672350999334,0.2940805904690135,0.44672425108068753
sexcohab,Y015_024,MWI_5_26,Chiradzulu,26,MWI_1_3,92,35.20860922241004,-15.767535233463864,MWI2015DHS,29,318,305.4288448004214,141.16346883503306,0.4621811961711557,0.4150508896084288,0.50999724910439,4790,0.46323006521539806,0.44353135181582426,0.48304421727773317,0.4616048492733816,0.46152127493903317,0.4095896858464183,0.5140828293194605
sexcohab,Y015_024,MWI_5_27,Blantyre,27,MWI_1_3,93,34.92937934014503,-15.684420375214856,MWI2015DHS,16,221,215.93206930515865,78.34291347567546,0.36281277592426536,0.29667623008610705,0.4345828283347755,4790,0.46323006521539806,0.44353135181582426,0.48304421727773317,0.38128789417457815,0.3811037079825986,0.32267789834313265,0.440938832139422
sexcohab,Y015_024,MWI_5_28,Mwanza,28,MWI_1_3,94,34.5099911684457,-15.614939980736473,MWI2015DHS,26,295,270.9518955316388,127.69159970963501,0.4712703687091371,0.40860407189402137,0.5348555184308782,4790,0.46323006521539806,0.44353135181582426,0.48304421727773317,0.47007379976615127,0.47000379098118733,0.41493849002818267,0.5255991008050503
sexcohab,Y015_024,MWI_5_29,Thyolo,29,MWI_1_3,95,35.14590938223536,-16.132958052516223,MWI2015DHS,34,402,358.4256577623294,151.96295235375229,0.42397342116204834,0.364152628909712,0.4861084234250676,4790,0.46323006521539806,0.44353135181582426,0.48304421727773317,0.42826053390754326,0.4281593170086865,0.3803101809518411,0.47680111131310815
sexcohab,Y015_024,MWI_5_30,Chikwawa,30,MWI_1_3,96,34.724079130618414,-16.217743422056422,MWI2015DHS,31,298,272.4370155475656,137.2240879282344,0.5036910555360127,0.4459329776198997,0.5613507890605871,4790,0.46323006521539806,0.44353135181582426,0.48304421727773317,0.4975594681407538,0.49752261433853207,0.44239179289344843,0.5529341219999434
sexcohab,Y015_024,MWI_5_31,Nsanje,31,MWI_1_3,97,35.10210238841431,-16.719418596872988,MWI2015DHS,27,277,229.94955139123385,117.79112965022452,0.5122477036270268,0.43476343407207213,0.5891477944824213,4790,0.46323006521539806,0.44353135181582426,0.48304421727773317,0.5045869246813549,0.5045636558052664,0.44471374885984216,0.5645775841359015
sexcohab,Y015_024,MWI_5_32,Neno,32,MWI_1_3,98,34.68262848719152,-15.496971936777499,MWI2015DHS,26,345,284.6834498313616,138.50296896856926,0.48651570384795634,0.43096329429189495,0.5424032735525504,4790,0.46323006521539806,0.44353135181582426,0.48304421727773317,0.4835649487991259,0.4835132680360908,0.4297784821843489,0.5376581293231588
sexcohab,Y015_024,MWI_5_33,Blantyre City,33,MWI_1_3,99,35.05142522327481,-15.797090693861705,MWI2015DHS,19,253,251.40644392325598,83.39300937622126,0.33170593432234263,0.2804851112769384,0.3872462511970799,4790,0.46323006521539806,0.44353135181582426,0.48304421727773317,0.3508875888112112,0.35062702934419426,0.2965664773500417,0.40669638019766136
sexnonreg,Y015_019,MWI_5_01,Chitipa,1,MWI_1_1,67,33.41158204610839,-9.974005685686997,MWI2015DHS,24,120,111.88340039567362,3.4962965524463048,0.031249466320130738,0.011935901219414905,0.07930607918534681,992,0.1002774504854312,0.0733162935647804,0.1357013631985928,0.0648533071342116,0.06337401365708792,0.034501528086327234,0.10361447620126606
sexnonreg,Y015_019,MWI_5_02,Karonga,2,MWI_1_1,68,33.866334874016346,-10.084841819638836,MWI2015DHS,28,135,124.61901409509687,10.37672788245774,0.08326761335584994,0.04680150227218065,0.1438586877441492,992,0.1002774504854312,0.0733162935647804,0.1357013631985928,0.08707157237476192,0.08558681589356337,0.05195720330693462,0.13065973076477944
sexnonreg,Y015_019,MWI_5_03,Nkhatabay,3,MWI_1_1,69,34.03986220564974,-11.61921590702774,MWI2015DHS,27,168,152.73083422509816,19.873579884274243,0.130121595846089,0.07815616423870837,0.2088120081715643,992,0.1002774504854312,0.0733162935647804,0.1357013631985928,0.12785723369731014,0.12669267899322054,0.0896002245737884,0.17273955563482235
sexnonreg,Y015_019,MWI_5_04,Rumphi,4,MWI_1_1,70,33.85483610430867,-10.791181993396545,MWI2015DHS,26,190,168.4364556349482,17.73135388003136,0.10527028613366494,0.06669382448860216,0.1622800901746041,992,0.1002774504854312,0.0733162935647804,0.1357013631985928,0.10322197029842123,0.10207350184338165,0.06964284385942354,0.1433504143841246
sexnonreg,Y015_019,MWI_5_05,Mzimba North,5,MWI_1_1,71,33.698617366732265,-11.23974039944667,MWI2015DHS,7,48,46.2554274995768,2.8147314869882387,0.06085191812385674,0.018047189276026818,0.18595569367213283,992,0.1002774504854312,0.0733162935647804,0.1357013631985928,0.10511513650898481,0.10320372483323151,0.06038032992060214,0.160875592594553
sexnonreg,Y015_019,MWI_5_06,Mzimba South,6,MWI_1_1,72,33.575160998223176,-12.02095807516945,MWI2015DHS,18,122,112.83655744378703,10.623646216738042,0.09415074739434988,0.04144421915273156,0.19990758237425174,992,0.1002774504854312,0.0733162935647804,0.1357013631985928,0.1146341782417118,0.11351538727128523,0.07522729453299272,0.16046292636795378
sexnonreg,Y015_019,MWI_5_07,Likoma,7,MWI_1_1,73,34.731245832814736,-12.066929023436916,MWI2015DHS,22,155,144.90834422429788,39.2889610312256,0.2711297354306373,0.20118894750902097,0.35459157447005724,992,0.1002774504854312,0.0733162935647804,0.1357013631985928,0.2512568085472842,0.25012631420116466,0.19037068772975493,0.31855514980479954
sexnonreg,Y015_019,MWI_5_08,Mzuzu City,8,MWI_1_1,74,34.004922079752575,-11.433350426571813,MWI2015DHS,9,54,51.452391923956675,9.634457938370508,0.18724995239501435,0.10437725595453173,0.31293121254742606,992,0.1002774504854312,0.0733162935647804,0.1357013631985928,0.14777791786611022,0.1448628097436746,0.09095217838422552,0.22112882625113253
sexnonreg,Y015_019,MWI_5_09,Kasungu,9,MWI_1_2,75,33.47083410082598,-12.998075222528772,MWI2015DHS,33,215,188.83194770078012,26.106663487287204,0.13825342483177358,0.09605451795455816,0.1949921839835233,1810,0.1567957132176177,0.1335118189227763,0.18328131098374004,0.1415151145576362,0.14064554100069643,0.10394991873520537,0.18402988370470943
sexnonreg,Y015_019,MWI_5_10,Nkhotakota,10,MWI_1_2,76,34.0524060649219,-12.832445474568253,MWI2015DHS,28,203,173.37547935338645,28.975459958166258,0.16712547856381915,0.1181447775702267,0.2310913473084369,1810,0.1567957132176177,0.1335118189227763,0.18328131098374004,0.15778119918731837,0.1566658735502428,0.11645395755588013,0.20542257140848494
sexnonreg,Y015_019,MWI_5_11,Ntchisi,11,MWI_1_2,77,33.8990139477213,-13.27701218954137,MWI2015DHS,27,140,116.59501648297531,12.460035414688841,0.10686593467318735,0.05996138758515405,0.18330667952304414,1810,0.1567957132176177,0.1335118189227763,0.18328131098374004,0.12746624551717947,0.12634690815967484,0.08516160534561193,0.1761998736997149
